TeacherID,Date,"A1 - The teacher explains complex concepts in a clear and understandable manner.","A2 - The teacher breaks down difficult material into manageable and logical learning steps.","A3 - The teacher uses relevant examples and real-world applications to illustrate topics effectively.","B1 - The teacher effectively uses digital tools (presentations, videos, apps, online resources) to enhance learning.","B2 - The teacher uses technology to provide timely and constructive feedback on assignments.","B3 - The digital materials and resources shared by the teacher are easily accessible and helpful for self-study.","C1 - The teacher makes lessons engaging and maintains my interest throughout the class.","C2 - The teacher creates a supportive environment where I feel comfortable asking questions and seeking help.","C3 - The teacher encourages active participation, critical thinking, and meaningful interaction with the material."
T017,21/02/2024,"Disagree","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Disagree","Disagree"
T017,26/02/2024,"Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree"
T017,20/02/2024,"Disagree","Disagree","Agree","Disagree","Neutral","Neutral","Neutral","Strongly Agree","Disagree"
T017,23/02/2024,"Disagree","Neutral","Neutral","Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Disagree"
T017,20/02/2024,"Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Agree"
T017,17/02/2024,"Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree"
T017,18/02/2024,"Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree"
T017,19/02/2024,"Neutral","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Agree","Agree"
T017,19/02/2024,"Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Disagree","Agree","Disagree","Neutral"
T017,19/02/2024,"Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Neutral"
T017,17/02/2024,"Strongly Disagree","Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Disagree"
T017,22/02/2024,"Disagree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Agree"
T017,19/02/2024,"Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Neutral","Agree","Disagree"
T017,25/02/2024,"Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree"
T017,21/02/2024,"Disagree","Strongly Disagree","Neutral","Disagree","Neutral","Agree","Disagree","Disagree","Agree"
T017,20/02/2024,"Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Agree"
T017,25/02/2024,"Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Agree","Disagree"
T017,18/02/2024,"Strongly Agree","Disagree","Disagree","Neutral","Agree","Disagree","Neutral","Disagree","Disagree"
T017,25/02/2024,"Disagree","Neutral","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Neutral"
T017,20/02/2024,"Disagree","Disagree","Disagree","Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Disagree"
T017,23/02/2024,"Agree","Disagree","Disagree","Disagree","Neutral","Disagree","Strongly Disagree","Disagree","Disagree"
T017,21/02/2024,"Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Agree","Disagree"
T017,27/02/2024,"Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree"
T017,19/02/2024,"Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Strongly Agree","Disagree"
T017,20/02/2024,"Disagree","Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Disagree","Neutral"
T017,23/02/2024,"Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Disagree"
T017,19/02/2024,"Strongly Disagree","Disagree","Agree","Neutral","Disagree","Agree","Disagree","Strongly Agree","Neutral"
T017,19/02/2024,"Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Disagree","Neutral"
T017,24/02/2024,"Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
T017,27/02/2024,"Disagree","Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree"
T017,27/02/2024,"Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree"
T017,28/02/2024,"Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Agree","Disagree","Disagree","Agree"
T017,26/02/2024,"Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree"
T017,19/02/2024,"Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree"
T017,22/02/2024,"Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Strongly Disagree","Disagree"
T017,22/02/2024,"Disagree","Strongly Disagree","Strongly Disagree","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Disagree"
T017,23/02/2024,"Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree"
T017,18/02/2024,"Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral"
T017,20/02/2024,"Disagree","Disagree","Disagree","Agree","Disagree","Strongly Agree","Agree","Disagree","Strongly Disagree"
T017,29/02/2024,"Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Neutral"
T017,30/02/2024,"Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Disagree","Neutral","Neutral"
T017,23/02/2024,"Neutral","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Agree","Strongly Disagree"
T017,18/02/2024,"Agree","Neutral","Disagree","Disagree","Neutral","Neutral","Disagree","Strongly Disagree","Disagree"
T017,20/02/2024,"Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Disagree","Neutral","Neutral","Disagree"
T017,21/02/2024,"Neutral","Neutral","Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Disagree","Neutral"
T017,19/02/2024,"Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree"
T017,22/02/2024,"Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree"
T017,19/02/2024,"Disagree","Neutral","Agree","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree"
T017,27/02/2024,"Strongly Agree","Disagree","Disagree","Disagree","Agree","Disagree","Strongly Disagree","Disagree","Neutral"
T017,18/02/2024,"Disagree","Disagree","Disagree","Strongly Agree","Disagree","Neutral","Disagree","Strongly Agree","Disagree"
T017,26/02/2024,"Neutral","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Agree","Disagree"
T017,22/02/2024,"Disagree","Strongly Disagree","Strongly Agree","Disagree","Neutral","Neutral","Agree","Disagree","Neutral"
T017,24/02/2024,"Disagree","Strongly Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Disagree","Disagree"
T017,25/02/2024,"Disagree","Disagree","Strongly Agree","Disagree","Disagree","Neutral","Disagree","Disagree","Strongly Agree"
T017,21/02/2024,"Strongly Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Disagree"
T017,19/02/2024,"Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
T017,25/02/2024,"Neutral","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Disagree"
T017,19/02/2024,"Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
T017,19/02/2024,"Neutral","Disagree","Agree","Agree","Disagree","Neutral","Neutral","Disagree","Neutral"
T017,21/02/2024,"Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Neutral","Neutral"
T017,24/02/2024,"Disagree","Neutral","Strongly Agree","Disagree","Agree","Agree","Strongly Disagree","Disagree","Disagree"
T017,30/02/2024,"Agree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Neutral"
T017,25/02/2024,"Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Strongly Disagree"
T017,21/02/2024,"Strongly Disagree","Disagree","Disagree","Strongly Agree","Disagree","Disagree","Agree","Disagree","Disagree"
T017,26/02/2024,"Neutral","Neutral","Neutral","Agree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree"
T017,28/02/2024,"Disagree","Disagree","Disagree","Disagree","Strongly Agree","Disagree","Disagree","Agree","Disagree"
T017,22/02/2024,"Disagree","Disagree","Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Disagree"
T017,16/02/2024,"Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree"
T017,23/02/2024,"Agree","Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Disagree","Neutral","Neutral"
T017,25/02/2024,"Disagree","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree","Strongly Disagree"
T017,24/02/2024,"Strongly Disagree","Agree","Disagree","Disagree","Agree","Neutral","Disagree","Disagree","Disagree"
T017,25/02/2024,"Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Disagree","Agree","Disagree"
T017,20/02/2024,"Agree","Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Disagree","Neutral"
T017,24/02/2024,"Strongly Agree","Agree","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree","Disagree"
T017,24/02/2024,"Neutral","Disagree","Disagree","Agree","Agree","Disagree","Disagree","Disagree","Disagree"
T017,21/02/2024,"Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree"
T017,26/02/2024,"Agree","Agree","Strongly Disagree","Disagree","Agree","Disagree","Strongly Disagree","Disagree","Disagree"
T017,22/02/2024,"Strongly Disagree","Disagree","Agree","Agree","Disagree","Disagree","Neutral","Disagree","Disagree"
T017,21/02/2024,"Disagree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Neutral"
T017,24/02/2024,"Strongly Disagree","Disagree","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
T017,22/02/2024,"Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Neutral"
T017,18/02/2024,"Disagree","Agree","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Neutral"
T017,16/02/2024,"Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Disagree"
T017,25/02/2024,"Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
T017,17/02/2024,"Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Strongly Agree","Neutral","Disagree"
T017,19/02/2024,"Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Disagree","Neutral","Disagree"
T017,18/02/2024,"Strongly Disagree","Disagree","Disagree","Agree","Disagree","Neutral","Disagree","Neutral","Disagree"
T017,21/02/2024,"Strongly Agree","Disagree","Disagree","Neutral","Disagree","Neutral","Agree","Disagree","Disagree"
T017,29/02/2024,"Agree","Disagree","Disagree","Disagree","Disagree","Agree","Neutral","Disagree","Neutral"
T017,22/02/2024,"Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Disagree","Disagree"
T017,17/02/2024,"Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Disagree"
T017,19/02/2024,"Strongly Disagree","Neutral","Agree","Disagree","Agree","Agree","Disagree","Disagree","Strongly Agree"
T017,23/02/2024,"Disagree","Disagree","Disagree","Agree","Disagree","Neutral","Disagree","Disagree","Disagree"
T017,19/02/2024,"Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree"
T017,24/02/2024,"Disagree","Neutral","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Neutral"
T017,15/02/2024,"Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral"
T017,27/02/2024,"Neutral","Agree","Disagree","Disagree","Neutral","Strongly Agree","Agree","Agree","Neutral"
T017,21/02/2024,"Strongly Disagree","Neutral","Neutral","Strongly Disagree","Agree","Neutral","Disagree","Neutral","Disagree"
T017,22/02/2024,"Strongly Agree","Strongly Disagree","Agree","Strongly Disagree","Agree","Disagree","Strongly Disagree","Strongly Disagree","Agree"
T017,25/02/2024,"Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree"
T017,20/02/2024,"Disagree","Agree","Strongly Disagree","Agree","Neutral","Strongly Disagree","Neutral","Disagree","Neutral"
T017,27/02/2024,"Disagree","Neutral","Agree","Disagree","Agree","Neutral","Agree","Agree","Strongly Agree"
T017,22/02/2024,"Strongly Disagree","Disagree","Disagree","Neutral","Neutral","Agree","Disagree","Strongly Disagree","Disagree"
T017,23/02/2024,"Strongly Agree","Agree","Neutral","Agree","Disagree","Agree","Strongly Agree","Agree","Neutral"
T017,21/02/2024,"Disagree","Disagree","Strongly Agree","Neutral","Disagree","Disagree","Disagree","Disagree","Agree"
T017,25/02/2024,"Disagree","Strongly Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly Disagree"
T017,23/02/2024,"Neutral","Disagree","Disagree","Disagree","Neutral","Agree","Disagree","Agree","Disagree"
T017,26/02/2024,"Strongly Disagree","Disagree","Strongly Disagree","Agree","Agree","Neutral","Disagree","Neutral","Neutral"
T017,22/02/2024,"Neutral","Agree","Disagree","Disagree","Agree","Disagree","Neutral","Disagree","Neutral"
T017,20/02/2024,"Neutral","Disagree","Neutral","Neutral","Agree","Disagree","Disagree","Strongly Disagree","Neutral"
T017,18/02/2024,"Disagree","Agree","Disagree","Disagree","Strongly Disagree","Neutral","Strongly Disagree","Strongly Disagree","Agree"
T017,22/02/2024,"Strongly Agree","Neutral","Agree","Strongly Disagree","Strongly Disagree","Disagree","Neutral","Neutral","Strongly Agree"
T017,22/02/2024,"Disagree","Neutral","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Neutral"
T017,22/02/2024,"Disagree","Disagree","Agree","Strongly Disagree","Neutral","Neutral","Disagree","Neutral","Neutral"
T017,19/02/2024,"Disagree","Strongly Disagree","Agree","Strongly Disagree","Neutral","Neutral","Agree","Disagree","Disagree"
T017,26/02/2024,"Strongly Agree","Neutral","Agree","Agree","Disagree","Disagree","Strongly Agree","Neutral","Strongly Agree"
T017,23/02/2024,"Neutral","Strongly Agree","Agree","Disagree","Neutral","Disagree","Strongly Agree","Strongly Agree","Agree"
T017,26/02/2024,"Agree","Disagree","Disagree","Strongly Disagree","Agree","Disagree","Disagree","Strongly Disagree","Agree"
T017,25/02/2024,"Neutral","Agree","Disagree","Neutral","Strongly Disagree","Neutral","Agree","Disagree","Neutral"
T017,24/02/2024,"Neutral","Neutral","Agree","Strongly Disagree","Neutral","Agree","Disagree","Agree","Strongly Disagree"
T017,22/02/2024,"Neutral","Neutral","Disagree","Disagree","Strongly Disagree","Agree","Strongly Agree","Strongly Agree","Agree"
T017,18/02/2024,"Neutral","Agree","Neutral","Disagree","Strongly Agree","Strongly Agree","Neutral","Disagree","Neutral"
T017,27/02/2024,"Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Disagree"
T017,24/02/2024,"Strongly Agree","Neutral","Strongly Disagree","Disagree","Neutral","Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree"
T017,18/02/2024,"Disagree","Agree","Agree","Neutral","Strongly Agree","Strongly Agree","Disagree","Agree","Agree"
T017,20/02/2024,"Disagree","Agree","Neutral","Strongly Disagree","Neutral","Disagree","Disagree","Agree","Agree"
T017,24/02/2024,"Strongly Agree","Disagree","Agree","Disagree","Neutral","Disagree","Disagree","Neutral","Disagree"
T017,27/02/2024,"Neutral","Disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Disagree","Disagree"
T017,17/02/2024,"Strongly Disagree","Agree","Disagree","Disagree","Neutral","Neutral","Strongly Disagree","Neutral","Agree"
T017,25/02/2024,"Strongly Disagree","Strongly Agree","Agree","Neutral","Disagree","Neutral","Agree","Disagree","Strongly Agree"
T017,26/02/2024,"Disagree","Neutral","Strongly Disagree","Disagree","Neutral","Disagree","Disagree","Neutral","Disagree"
T017,24/02/2024,"Disagree","Neutral","Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree"
T017,18/02/2024,"Neutral","Disagree","Strongly Disagree","Disagree","Disagree","Agree","Strongly Disagree","Disagree","Agree"
T017,29/02/2024,"Strongly Disagree","Strongly Disagree","Disagree","Strongly Agree","Neutral","Disagree","Disagree","Strongly Disagree","Disagree"
T017,25/02/2024,"Neutral","Agree","Strongly Agree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree"
T017,20/02/2024,"Disagree","Strongly Agree","Disagree","Disagree","Disagree","Neutral","Strongly Disagree","Disagree","Disagree"
T017,18/02/2024,"Neutral","Agree","Neutral","Strongly Agree","Neutral","Neutral","Disagree","Agree","Disagree"
T017,26/02/2024,"Agree","Neutral","Neutral","Disagree","Neutral","Agree","Disagree","Disagree","Strongly Disagree"
T017,17/02/2024,"Agree","Disagree","Neutral","Disagree","Strongly Agree","Disagree","Disagree","Disagree","Agree"
T017,17/02/2024,"Disagree","Disagree","Strongly Disagree","Disagree","Neutral","Agree","Disagree","Neutral","Disagree"
T017,28/02/2024,"Neutral","Neutral","Disagree","Neutral","Neutral","Agree","Disagree","Disagree","Disagree"
T017,26/02/2024,"Disagree","Neutral","Neutral","Strongly Disagree","Neutral","Agree","Strongly Agree","Strongly Disagree","Agree"
T017,24/02/2024,"Agree","Agree","Agree","Strongly Disagree","Agree","Strongly Agree","Disagree","Agree","Neutral"
T017,16/02/2024,"Agree","Strongly Agree","Neutral","Disagree","Agree","Neutral","Agree","Disagree","Agree"
T017,21/02/2024,"Neutral","Agree","Agree","Neutral","Disagree","Disagree","Agree","Agree","Disagree"
T017,22/02/2024,"Disagree","Agree","Agree","Disagree","Agree","Disagree","Strongly Disagree","Agree","Strongly Disagree"
T017,20/02/2024,"Neutral","Disagree","Disagree","Disagree","Strongly Agree","Agree","Agree","Disagree","Agree"
T017,19/02/2024,"Agree","Strongly Agree","Disagree","Neutral","Disagree","Disagree","Disagree","Strongly Disagree","Neutral"
T017,18/02/2024,"Neutral","Strongly Disagree","Agree","Disagree","Neutral","Disagree","Neutral","Disagree","Agree"
T017,21/02/2024,"Disagree","Strongly Disagree","Agree","Agree","Disagree","Agree","Neutral","Neutral","Neutral"
T017,22/02/2024,"Agree","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree"
T017,16/02/2024,"Agree","Agree","Strongly Agree","Neutral","Strongly Agree","Disagree","Disagree","Neutral","Disagree"
T017,24/02/2024,"Disagree","Neutral","Agree","Neutral","Disagree","Neutral","Neutral","Strongly Disagree","Agree"
T017,22/02/2024,"Agree","Agree","Strongly Agree","Neutral","Disagree","Neutral","Strongly Disagree","Disagree","Disagree"
T017,22/02/2024,"Neutral","Neutral","Strongly Disagree","Disagree","Agree","Disagree","Disagree","Strongly Disagree","Disagree"
T017,23/02/2024,"Neutral","Neutral","Neutral","Disagree","Neutral","Strongly Disagree","Neutral","Disagree","Disagree"
T017,27/02/2024,"Neutral","Strongly Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree","Strongly Disagree"
T017,25/02/2024,"Agree","Neutral","Neutral","Strongly Disagree","Neutral","Disagree","Neutral","Neutral","Agree"
T017,18/02/2024,"Disagree","Neutral","Agree","Strongly Disagree","Agree","Agree","Agree","Disagree","Strongly Disagree"
T017,17/02/2024,"Agree","Disagree","Agree","Agree","Agree","Neutral","Agree","Disagree","Disagree"
T017,25/02/2024,"Neutral","Neutral","Disagree","Neutral","Disagree","Strongly Disagree","Agree","Neutral","Disagree"
T017,20/02/2024,"Neutral","Disagree","Neutral","Neutral","Disagree","Strongly Disagree","Disagree","Agree","Neutral"
T017,27/02/2024,"Strongly Disagree","Agree","Strongly Disagree","Neutral","Disagree","Neutral","Disagree","Agree","Disagree"
T017,26/02/2024,"Disagree","Neutral","Agree","Disagree","Disagree","Neutral","Agree","Disagree","Neutral"
T017,23/02/2024,"Neutral","Disagree","Neutral","Neutral","Strongly Disagree","Disagree","Disagree","Neutral","Disagree"
T017,18/02/2024,"Neutral","Neutral","Neutral","Agree","Disagree","Agree","Disagree","Strongly Disagree","Neutral"
T017,17/02/2024,"Strongly Disagree","Agree","Neutral","Disagree","Agree","Strongly Disagree","Disagree","Disagree","Disagree"
T017,16/02/2024,"Strongly Disagree","Disagree","Agree","Strongly Agree","Neutral","Disagree","Strongly Disagree","Neutral","Neutral"
T017,26/02/2024,"Agree","Neutral","Disagree","Neutral","Agree","Disagree","Neutral","Disagree","Disagree"
T017,27/02/2024,"Agree","Disagree","Neutral","Disagree","Strongly Disagree","Disagree","Strongly Agree","Disagree","Disagree"
T017,29/05/2024,"Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Disagree","Neutral","Disagree"
T017,24/05/2024,"Disagree","Strongly Disagree","Strongly Disagree","Neutral","Neutral","Disagree","Disagree","Agree","Strongly Disagree"
T017,24/05/2024,"Disagree","Strongly Agree","Neutral","Agree","Neutral","Agree","Disagree","Agree","Strongly Disagree"
T017,22/05/2024,"Disagree","Agree","Agree","Agree","Agree","Neutral","Strongly Agree","Disagree","Neutral"
T017,21/05/2024,"Disagree","Disagree","Neutral","Agree","Neutral","Disagree","Neutral","Disagree","Disagree"
T017,25/05/2024,"Strongly Disagree","Disagree","Disagree","Neutral","Disagree","Agree","Neutral","Disagree","Disagree"
T017,19/05/2024,"Disagree","Disagree","Disagree","Strongly Disagree","Agree","Agree","Disagree","Neutral","Strongly Agree"
T017,19/05/2024,"Disagree","Agree","Strongly Agree","Agree","Strongly Agree","Disagree","Disagree","Neutral","Disagree"
T017,20/05/2024,"Neutral","Disagree","Strongly Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Agree"
T017,22/05/2024,"Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree","Strongly Disagree"
T017,28/05/2024,"Disagree","Disagree","Disagree","Agree","Neutral","Disagree","Disagree","Disagree","Disagree"
T017,21/05/2024,"Disagree","Neutral","Disagree","Neutral","Disagree","Neutral","Agree","Agree","Disagree"
T017,25/05/2024,"Neutral","Agree","Disagree","Disagree","Strongly Disagree","Neutral","Disagree","Strongly Agree","Neutral"
T017,24/05/2024,"Disagree","Disagree","Agree","Disagree","Disagree","Neutral","Disagree","Agree","Disagree"
T017,24/05/2024,"Agree","Disagree","Disagree","Agree","Neutral","Neutral","Agree","Strongly Agree","Disagree"
T017,26/05/2024,"Disagree","Disagree","Disagree","Neutral","Neutral","Strongly Agree","Disagree","Disagree","Neutral"
T017,19/05/2024,"Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Neutral","Disagree","Agree"
T017,29/05/2024,"Agree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree"
T017,17/05/2024,"Neutral","Strongly Agree","Strongly Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Strongly Agree"
T017,22/05/2024,"Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Strongly Disagree","Neutral","Neutral"
T017,20/05/2024,"Disagree","Agree","Strongly Agree","Agree","Neutral","Neutral","Disagree","Neutral","Neutral"
T017,23/05/2024,"Disagree","Disagree","Disagree","Strongly Disagree","Neutral","Agree","Strongly Disagree","Disagree","Disagree"
T017,19/05/2024,"Neutral","Neutral","Disagree","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree"
T017,21/05/2024,"Disagree","Strongly Disagree","Disagree","Agree","Neutral","Agree","Agree","Disagree","Disagree"
T017,26/05/2024,"Neutral","Agree","Disagree","Neutral","Disagree","Disagree","Disagree","Disagree","Disagree"
T017,25/05/2024,"Strongly Disagree","Strongly Disagree","Disagree","Strongly Disagree","Neutral","Agree","Agree","Disagree","Disagree"
T017,25/05/2024,"Disagree","Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree"
T017,17/05/2024,"Disagree","Disagree","Neutral","Strongly Agree","Agree","Neutral","Disagree","Disagree","Agree"
T017,22/05/2024,"Disagree","Disagree","Disagree","Neutral","Disagree","Neutral","Agree","Disagree","Agree"
T017,26/05/2024,"Disagree","Disagree","Disagree","Agree","Neutral","Disagree","Disagree","Neutral","Agree"
T017,28/05/2024,"Disagree","Strongly Disagree","Disagree","Strongly Agree","Agree","Strongly Disagree","Disagree","Neutral","Disagree"
T017,26/05/2024,"Disagree","Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
T017,23/05/2024,"Disagree","Strongly Disagree","Disagree","Agree","Neutral","Neutral","Neutral","Disagree","Neutral"
T017,25/05/2024,"Disagree","Disagree","Disagree","Neutral","Neutral","Disagree","Disagree","Disagree","Strongly Disagree"
T017,30/05/2024,"Strongly Disagree","Neutral","Disagree","Neutral","Neutral","Agree","Disagree","Neutral","Disagree"
T017,26/05/2024,"Agree","Neutral","Disagree","Neutral","Disagree","Neutral","Disagree","Disagree","Disagree"
T017,20/05/2024,"Disagree","Disagree","Strongly Agree","Neutral","Disagree","Neutral","Disagree","Disagree","Neutral"
T017,19/05/2024,"Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Disagree","Disagree"
T017,29/05/2024,"Neutral","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Disagree","Disagree"
T017,20/05/2024,"Disagree","Disagree","Disagree","Agree","Neutral","Neutral","Agree","Neutral","Neutral"
T017,21/05/2024,"Strongly Agree","Disagree","Disagree","Neutral","Neutral","Agree","Disagree","Disagree","Disagree"
T017,21/05/2024,"Disagree","Agree","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Disagree","Disagree","Disagree"
T017,20/05/2024,"Neutral","Agree","Agree","Neutral","Neutral","Neutral","Neutral","Disagree","Agree"
T017,30/05/2024,"Disagree","Disagree","Disagree","Disagree","Disagree","Neutral","Agree","Disagree","Disagree"
T017,17/05/2024,"Disagree","Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral"
T017,26/05/2024,"Neutral","Disagree","Disagree","Agree","Agree","Strongly Agree","Neutral","Neutral","Disagree"
T017,22/05/2024,"Agree","Disagree","Neutral","Neutral","Neutral","Neutral","Agree","Strongly Disagree","Neutral"
T017,20/05/2024,"Neutral","Neutral","Disagree","Neutral","Agree","Neutral","Disagree","Neutral","Neutral"
T017,23/05/2024,"Disagree","Agree","Neutral","Neutral","Neutral","Neutral","Neutral","Disagree","Agree"
T017,21/05/2024,"Disagree","Neutral","Disagree","Agree","Strongly Disagree","Neutral","Agree","Disagree","Agree"
T017,22/05/2024,"Disagree","Strongly Disagree","Neutral","Neutral","Neutral","Strongly Disagree","Disagree","Disagree","Disagree"
T017,28/05/2024,"Disagree","Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree"
T017,26/05/2024,"Disagree","Neutral","Disagree","Strongly Agree","Strongly Disagree","Neutral","Strongly Disagree","Disagree","Agree"
T017,20/05/2024,"Disagree","Disagree","Agree","Agree","Neutral","Disagree","Disagree","Disagree","Agree"
T017,18/05/2024,"Agree","Neutral","Disagree","Disagree","Neutral","Neutral","Disagree","Agree","Disagree"
T017,29/05/2024,"Disagree","Disagree","Disagree","Neutral","Disagree","Disagree","Disagree","Agree","Disagree"
T017,22/05/2024,"Strongly Disagree","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral"
T017,20/05/2024,"Disagree","Disagree","Disagree","Neutral","Neutral","Agree","Disagree","Agree","Agree"
T017,19/05/2024,"Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","Neutral","Disagree"
